lattitude,Temperature,Humidity,Cloudiness,Windspeed
-0.41,301.02,69,84,1.13
43.66,273.76,74,1,6.57
20.89,300.46,58,20,6.2
33.42,286.15,58,75,6.7
44.6,284.14,76,19,3.1
-33.21,287.74,35,8,6.52
65.95,245.15,75,98,2.0
-33.59,291.48,85,56,1.34
47.66,277.56,100,90,5.7
38.52,289.86,81,55,7.8
-54.81,281.15,81,90,8.2
14.29,300.12,78,75,1.5
70.62,237.64,99,100,2.69
15.11,294.78,72,44,1.25
-33.69,291.91,72,100,8.31
7.98,299.87,78,99,10.74
77.48,263.39,97,100,1.54
8.41,296.45,69,99,4.22
-23.58,301.75,44,23,3.58
-42.78,286.4,62,75,5.1
-20.63,292.35,93,69,2.66
53.01,272.25,79,40,4.6
-38.55,289.35,94,96,3.58
-16.02,293.52,88,75,1.0
-15.77,302.15,66,24,1.0
-23.12,295.75,70,99,6.05
54.62,282.55,100,90,2.1
-33.64,291.38,34,1,3.29
-18.59,296.94,73,82,7.27
-15.19,295.11,81,75,1.54
69.47,272.15,86,70,7.7
49.49,255.1,94,100,1.68
39.95,281.88,49,1,4.1
45.6,283.5,93,98,4.6
34.8,276.15,37,16,1.0
-34.72,288.44,46,20,4.96
-53.16,281.03,93,90,4.1
-21.21,298.15,83,100,3.1
65.42,273.41,64,48,5.49
38.52,289.86,81,55,7.8
-54.81,281.15,81,90,8.2
14.29,300.12,78,75,1.5
70.62,237.64,99,100,2.69
15.11,294.78,72,44,1.25
-33.69,291.91,72,100,8.31
7.98,299.87,78,99,10.74
77.48,263.39,97,100,1.54
8.41,296.45,69,99,4.22
-23.58,301.75,44,23,3.58
-42.78,286.4,62,75,5.1
-20.63,292.35,93,69,2.66
53.01,272.25,79,40,4.6
-38.55,289.35,94,96,3.58
-16.02,293.52,88,75,1.0
-15.77,302.15,66,24,1.0
-23.12,295.75,70,99,6.05
54.62,282.55,100,90,2.1
-33.64,291.38,34,1,3.29
-18.59,296.94,73,82,7.27
-15.19,295.11,81,75,1.54
69.47,272.15,86,70,7.7
49.49,255.1,94,100,1.68
39.95,281.88,49,1,4.1
45.6,283.5,93,98,4.6
34.8,276.15,37,16,1.0
-34.72,288.44,46,20,4.96
-53.16,281.03,93,90,4.1
-21.21,298.15,83,100,3.1
65.42,273.41,64,48,5.49
-42.78,286.4,62,75,5.1
-20.63,292.35,93,69,2.66
53.01,272.25,79,40,4.6
-38.55,289.35,94,96,3.58
-16.02,293.52,88,75,1.0
-15.77,302.15,66,24,1.0
-23.12,295.75,70,99,6.05
54.62,282.55,100,90,2.1
-33.64,291.38,34,1,3.29
-18.59,296.94,73,82,7.27
-15.19,295.11,81,75,1.54
69.47,272.15,86,70,7.7
49.49,255.1,94,100,1.68
39.95,281.88,49,1,4.1
45.6,283.5,93,98,4.6
34.8,276.15,37,16,1.0
-34.72,288.44,46,20,4.96
-53.16,281.03,93,90,4.1
-21.21,298.15,83,100,3.1
65.42,273.41,64,48,5.49
-33.64,291.38,34,1,3.29
-18.59,296.94,73,82,7.27
-15.19,295.11,81,75,1.54
69.47,272.15,86,70,7.7
49.49,255.1,94,100,1.68
39.95,281.88,49,1,4.1
45.6,283.5,93,98,4.6
34.8,276.15,37,16,1.0
-34.72,288.44,46,20,4.96
-53.16,281.03,93,90,4.1
-21.21,298.15,83,100,3.1
65.42,273.41,64,48,5.49
-21.21,298.15,83,100,3.1
65.42,273.41,64,48,5.49
